SleepInd,pEffort,uaI,uaI(-1),DeltaHrtwo,FatigInd
-3.0,6.0,2.44,2.33,28.0,Risk/Caution
-5.0,6.0,2.31,2.45,-36.0,Risk/Caution
-5.0,8.0,2.53,2.3,-6.0,Risk/Caution
-5.5,6.0,2.76,2.52,26.0,Risk/Caution
-6.0,7.0,2.08,1.75,-36.0,Risk/Caution
-4.5,5.0,2.38,2.11,22.0,Risk/Caution
-4.0,5.0,2.07,2.28,28.0,Risk/Caution
-3.743931677238676,5.256068322761324,1.908034161380662,2.2414563974627177,30.927180126864112,Risk/Caution
-4.0,6.0,2.33,1.4,0.0,Risk/Caution
-4.443459042329747,7.443459042329747,1.8438248377514337,2.6262527977784935,5.8436800555376625,Risk/Caution
-4.0,5.198842404088805,2.151120227107492,2.087490657799074,27.608103171378364,Risk/Caution
-4.0,6.0,2.86,2.13,0.0,Risk/Caution
-2.0999999999999996,6.0,2.47,2.24,23.0,Risk/Caution
-0.9782658245968344,5.792058337131811,2.3,0.0,2.079416628681888,Risk/Caution
-3.0,6.0,2.64,2.82,19.0,Risk/Caution
-2.3311587473363926,6.668841252663607,2.1395433369406422,2.3263622246270947,7.28549244140064,Risk/Caution
-3.724725337069102,5.449450674138204,2.3415825123450347,2.1977582966208096,22.0,Risk/Caution
-6.0,7.0,2.44,1.89,-12.0,Risk/Caution
-3.775057866684699,4.8500385777898,1.9800231466738791,2.2485081013358577,27.1002314667388,Risk/Caution
-1.5,5.0,1.69,2.28,22.0,Risk/Caution
-2.7,6.0,2.75,1.72,27.0,Risk/Caution
-3.5,6.0,2.08,2.76,27.0,Risk/Caution
-4.917366530468499,5.834733060936998,2.38,2.11,-6.380924071857915,Risk/Caution
-5.182595575415454,6.5912977877077275,2.6116549291627544,1.9880885309501457,-7.095573452492726,Risk/Caution
-5.0,5.0,2.4728295946267793,2.716962111235146,22.0,Risk/Caution
-3.479165739974176,6.0,2.3872917686028408,1.2135438258601692,27.041668520051648,Risk/Caution
-2.658134861228448,5.0,2.4549907213346267,2.5411150639193965,27.244973703390805,Risk/Caution
-3.5,5.0,2.0,2.0,22.0,Risk/Caution
-3.53969213238908,6.0,2.5022275941378846,1.3168488030293546,11.873226912559756,Risk/Caution
-4.895087770265603,5.419648918937589,2.934954417564674,2.496694791886851,22.0,Risk/Caution
-3.1203740987789867,6.425155874491245,2.593295203602461,2.227245323765263,3.0176738989115,Risk/Caution
-4.067700327819992,6.567700327819992,2.466036222917594,2.4477648196990045,-1.9527167188195664,Risk/Caution
-4.38976138606016,6.0,2.6653031770463076,2.428568584734366,25.020377693582493,Risk/Caution
-5.0,8.0,3.02,2.23,-36.0,Risk/Caution
-3.5,6.0,2.0,2.0,23.0,Risk/Caution
-0.7671483261731517,6.190820232980823,2.309541011649041,0.2413875947207406,-0.5724606989424679,Risk/Caution
-2.8,5.0,2.3,0.0,10.0,Risk/Caution
-4.5,5.0,1.9,3.23,22.0,Risk/Caution
-3.5,6.0,2.3,2.24,22.0,Risk/Caution
-3.0,6.0,1.75,2.02,21.0,Risk/Caution
-3.0,6.0,2.4710932302643696,2.406178414147706,26.60080463810336,Risk/Caution
-4.437373415088883,5.0,1.8965555378298884,3.1902321185814406,22.0,Risk/Caution
-3.1746312000546486,4.449754133369765,1.739852480021859,2.1644483680076507,24.698524800218593,Risk/Caution
-4.3648977789404455,5.42340148070637,2.703618963505541,2.4533414521386434,22.0,Risk/Caution
-4.0,5.0,2.0,2.0,37.0,Risk/Caution
-2.5,5.0,1.79,1.96,22.0,Risk/Caution
-3.5,7.0,2.42,1.42,28.0,Risk/Caution
-4.1,7.0,2.45,2.08,-12.0,Risk/Caution
-3.855670976374325,6.0,2.540619884088974,2.3129904592094057,22.28865804725135,Risk/Caution
-4.0,6.0,2.31,2.45,41.0,Risk/Caution
-2.5,4.0,1.47,2.07,22.0,Risk/Caution
-5.0,5.0,2.31,2.75,22.0,Risk/Caution
-4.5,8.0,2.28,2.42,0.0,Risk/Caution
-2.0,6.0,2.15,1.52,22.0,Risk/Caution
-4.0,6.0,2.76,2.44,22.0,Risk/Caution
-3.0,6.0,2.28,2.42,22.0,Risk/Caution
-3.3590659776509653,8.0,2.4045168100556618,2.5220087206707515,-6.0,Risk/Caution
-4.5,7.0,2.69,2.07,22.0,Risk/Caution
-4.0,5.0,2.0,2.0,32.0,Risk/Caution
-4.0,5.0,2.0,2.0,29.0,Risk/Caution
-3.578857612702501,5.0,2.0,2.0,23.10400657783501,Risk/Caution
-5.0,5.0,3.23,2.13,22.0,Risk/Caution
-2.682120075656966,5.788080050437977,2.084040025218989,2.1972515947040123,22.0,Risk/Caution
-4.0,5.0,1.78,2.18,34.0,Risk/Caution
-5.0,7.0,2.42,2.18,-24.0,Risk/Caution
-5.0,5.0,3.0,2.61,22.0,Risk/Caution
-2.0,5.0,2.24,2.37,29.0,Risk/Caution
-5.129181747801733,6.370818252198267,2.76,2.4050463418185375,7.459087390086683,Risk/Caution
-3.697440759087785,5.39488151817557,2.130310900997938,1.2102369636488606,23.57952607270228,Risk/Caution
-3.5,5.0,2.73,2.76,25.0,Risk/Caution
-4.136364002071789,6.272728004143579,2.4327276018646105,2.384545279005541,23.272679730667356,Risk/Caution
-5.0,5.0,2.23,2.38,21.0,Risk/Caution
-5.0,6.0,1.79,1.96,18.0,Risk/Caution
-7.0,5.0,2.0,0.0,18.0,Risk/Caution
-4.0,8.0,2.54,2.28,-10.0,Risk/Caution
-4.0,6.0,3.29,1.53,6.0,Risk/Caution
-6.0,8.0,2.58,1.8,12.0,Risk/Caution
-6.0,6.0,3.0,2.34,5.0,Risk/Caution
-6.0,4.0,1.16,1.56,0.0,Risk/Caution
-5.0,5.0,3.0,2.34,-18.0,Risk/Caution
-5.0,6.0,2.33,2.42,18.0,Risk/Caution
-2.0,8.0,2.48,2.19,-6.0,Risk/Caution
-5.0,7.0,2.19,1.74,6.0,Risk/Caution
-6.0,6.0,2.3,2.3,0.0,Risk/Caution
-7.5,7.0,2.0,2.0,24.0,Risk/Caution
-7.0,6.0,1.41,0.0,0.0,Risk/Caution
-5.0,7.0,2.08,1.82,12.0,Risk/Caution
-4.0,5.0,2.0,2.0,24.0,Risk/Caution
-4.0,4.0,1.5,2.79,-2.0,Risk/Caution
-5.0,8.0,2.42,1.42,8.0,Risk/Caution
-7.5,6.0,2.0,2.0,12.0,Risk/Caution
-2.0,7.0,2.97,2.97,12.0,Risk/Caution
-4.0,6.0,2.18,2.08,0.0,Risk/Caution
-6.0,8.0,1.92,1.86,0.0,Risk/Caution
-4.0,6.0,2.42,2.11,0.0,Risk/Caution
-5.0,5.0,2.3,2.12,-6.0,Risk/Caution
-4.0,8.0,1.51,0.0,6.0,Risk/Caution
-7.5,7.0,2.0,2.0,18.0,Risk/Caution
-6.5,5.0,2.0,2.0,9.0,Risk/Caution
-5.5,7.0,1.8,3.02,24.0,Risk/Caution
-4.0,7.0,2.29,2.1,0.0,Risk/Caution
-4.0,6.0,2.11,2.42,0.0,Risk/Caution
-6.0,5.0,1.58,0.0,-10.0,Risk/Caution
-5.0,5.0,1.54,0.0,30.0,Risk/Caution
-5.0,6.0,2.1,1.85,-6.0,Risk/Caution
-5.0,6.0,1.68,2.81,6.0,Risk/Caution
-4.0,5.0,1.63,2.25,-6.0,Risk/Caution
-5.0,5.0,1.46,2.08,12.0,Risk/Caution
-4.5,5.0,2.0,2.24,0.0,Risk/Caution
-4.5,5.0,1.46,2.08,0.0,Risk/Caution
-2.0,6.0,1.98,0.0,6.0,Risk/Caution
-5.0,7.0,1.66,2.18,0.0,Risk/Caution
-5.0,7.0,2.2,1.58,-10.0,Risk/Caution
-3.0,4.0,2.91,2.0,-6.0,Risk/Caution
-4.0,7.0,2.07,2.33,16.0,Risk/Caution
-4.0,7.0,2.0,2.0,18.0,Risk/Caution
-4.5,8.0,2.06,1.97,-6.0,Risk/Caution
-5.0,5.0,2.0,2.0,-6.0,Risk/Caution
-6.0,6.0,2.02,1.89,-6.0,Risk/Caution
-6.0,1.0,0.0,1.41,8.0,Risk/Caution
-5.0,7.0,1.76,1.79,0.0,Risk/Caution
-3.0,6.0,2.05,2.21,0.0,Risk/Caution
-5.0,6.0,2.0,2.0,12.0,Risk/Caution
-5.0,6.0,2.86,2.13,6.0,Risk/Caution
-3.0,8.0,2.32,1.99,0.0,Risk/Caution
-4.0,6.0,1.94,1.94,12.0,Risk/Caution
-8.0,4.0,1.87,2.2,6.0,Risk/Caution
-7.0,4.0,1.41,0.0,6.0,Risk/Caution
-6.0,6.0,1.98,2.26,-12.0,Risk/Caution
-5.0,7.0,2.17,3.0,13.0,Risk/Caution
-5.0,6.0,1.41,0.0,6.0,Risk/Caution
-5.0,7.0,1.85,2.03,6.0,Risk/Caution
-6.0,6.0,2.08,0.0,-6.0,Risk/Caution
-4.0,6.0,2.92,3.29,6.0,Risk/Caution
-5.0,7.0,1.41,1.0,0.0,Risk/Caution
-7.0,4.0,2.0,2.79,6.0,Risk/Caution
-3.0,8.0,1.51,0.0,-6.0,Risk/Caution
-3.5,8.0,2.37,1.81,-12.0,Risk/Caution
-4.0,5.0,2.12,2.32,-6.0,Risk/Caution
-4.5,5.0,2.02,2.19,-6.0,Risk/Caution
-4.0,6.0,1.85,2.88,0.0,Risk/Caution
-4.5,7.0,1.7,1.93,-12.0,Risk/Caution
-5.0,7.0,2.69,2.0,18.0,Risk/Caution
-7.5,6.0,2.05,1.94,6.0,Risk/Caution
-5.0,5.0,1.5,1.5,0.0,Risk/Caution
-5.0,6.0,2.23,2.38,18.0,Risk/Caution
-5.0,7.0,2.33,0.0,0.0,Risk/Caution
-5.0,6.0,2.15,2.17,6.0,Risk/Caution
-5.0,6.0,2.3,0.0,18.0,Risk/Caution
-4.0,6.0,2.25,1.78,24.0,Risk/Caution
-5.5,5.0,1.78,1.76,6.0,Risk/Caution
-6.0,5.0,1.89,2.19,-6.0,Risk/Caution
-5.0,7.0,2.44,1.93,6.0,Risk/Caution
-4.0,5.0,2.75,2.69,12.0,Risk/Caution
-5.5,6.0,2.0,2.0,18.0,Risk/Caution
-5.0,5.0,1.96,2.15,1.0,Risk/Caution
-5.0,5.0,2.3,2.25,6.0,Risk/Caution
-4.0,6.0,1.69,2.33,0.0,Risk/Caution
-5.0,4.0,2.79,2.33,6.0,Risk/Caution
-5.0,7.0,2.69,1.78,18.0,Risk/Caution
-6.0,5.0,2.06,2.3,0.0,Risk/Caution
-5.0,6.0,2.08,0.0,12.0,Risk/Caution
-6.0,5.0,2.25,1.78,-6.0,Risk/Caution
-6.0,8.0,3.02,2.23,18.0,Risk/Caution
-5.0,6.0,2.51,1.68,0.0,Risk/Caution
-5.0,6.0,2.25,2.2,-10.0,Risk/Caution
-6.0,6.0,1.72,2.58,18.0,Risk/Caution
-7.0,7.0,1.66,1.76,-6.0,Risk/Caution
-4.0,5.0,2.85,0.0,0.0,Risk/Caution
-5.0,6.0,2.11,2.3,30.0,Risk/Caution
-6.0,6.0,2.0,2.0,0.0,Risk/Caution
-6.0,6.0,2.5,2.0,1.0,Risk/Caution
-5.0,6.0,2.0,2.0,0.0,Risk/Caution
-4.0,5.0,2.0,0.0,0.0,Risk/Caution
-7.0,5.0,1.85,2.6,0.0,Risk/Caution
-4.0,6.0,2.17,3.0,12.0,Risk/Caution
-3.5,5.0,2.33,2.3,-6.0,Risk/Caution
-4.5,5.0,2.25,2.48,-18.0,Risk/Caution
-5.0,6.0,2.49,1.69,18.0,Risk/Caution
-5.0,7.0,2.3,2.3,6.0,Risk/Caution
