SleepInd,pEffort,uaI,uaI(-1),DeltaHrtwo,FatigInd
-5.0,1.0,0.0,1.0,4.0,Low/Minimal
-5.5,5.0,2.0,2.0,22.0,Low/Minimal
-5.0,7.0,2.19,1.89,0.0,Low/Minimal
-4.0,3.0,2.64,2.85,0.0,Low/Minimal
-6.0,1.0,0.0,0.0,-6.0,Low/Minimal
-5.0,4.0,1.89,1.54,0.0,Low/Minimal
-8.0,7.0,1.41,0.0,-6.0,Low/Minimal
-5.0,4.0,2.0,2.0,3.0,Low/Minimal
-6.0,2.0,2.79,2.33,6.0,Low/Minimal
-7.0,1.0,0.0,0.0,0.0,Low/Minimal
-6.0,5.0,2.0,2.0,23.0,Low/Minimal
-7.0,1.0,0.0,0.0,-6.0,Low/Minimal
-6.800000000000001,5.0,3.23,2.13,-6.0,Low/Minimal
-4.0,1.0,1.69,2.28,-12.0,Low/Minimal
-4.0,6.0,2.0,2.0,8.0,Low/Minimal
-4.5,7.0,2.0,2.0,4.0,Low/Minimal
-6.757117219206806,1.0,0.0,1.843344478998323,0.0,Low/Minimal
-3.0,1.0,0.0,2.02,6.0,Low/Minimal
-9.8,1.0,1.0,2.0,0.0,Low/Minimal
-5.707855351464782,3.4607232426760905,2.0,2.0,6.292144648535218,Low/Minimal
-7.0,1.0,0.0,3.67,0.0,Low/Minimal
-8.0,1.0,0.0,2.0,9.0,Low/Minimal
-5.5,2.0,2.0,0.0,6.0,Low/Minimal
-6.5,2.0,2.0,2.0,-6.0,Low/Minimal
-5.90016310892082,1.1996737821583596,1.1996737821583596,1.6006524356832803,5.19967378215836,Low/Minimal
-5.0,6.0,2.0,1.0,24.0,Low/Minimal
-10.5,1.0,0.0,1.89,0.0,Low/Minimal
-6.0,1.0,0.0,1.0,0.0,Low/Minimal
-6.0,1.0,0.0,1.86,6.0,Low/Minimal
-6.068054981357884,2.0,2.0,2.0,-3.408329888147305,Low/Minimal
-6.800000000000001,6.0,2.0,2.0,5.0,Low/Minimal
-4.0,1.0,0.0,0.0,-6.0,Low/Minimal
-4.4691522233043095,6.212339110678276,2.0,1.2123391106782762,22.30128711457379,Low/Minimal
-7.0,2.0,2.0,2.0,6.0,Low/Minimal
-6.0,3.0,1.0,0.0,0.0,Low/Minimal
-6.592414568862043,1.0,0.0,0.7458813389824623,1.1089748263445092,Low/Minimal
-5.17776394208952,2.074120193034932,0.6272861927324005,2.504824038606986,-6.0,Low/Minimal
