Appetite,pEffort,Sex_F,SleepInd,SleepInd(-1),SleepInd(-2),uaI,uaI(-1),uaI(-2),pEffort(-1),pEffort(-2),Appetite(-1),Appetite(-2),FatigInd
6.0,6.0,0,-4.0,-5.0,-5.0,2.24,0.0,2.31,1.0,6.0,7.0,6.0,Optimal
6.0,7.0,1,-3.0,-9.0,-5.0,1.99,1.33,2.54,3.0,8.0,6.0,6.0,Optimal
4.0,5.0,0,-4.0,-4.0,-6.0,3.06,3.67,2.91,5.0,3.0,4.0,6.0,Optimal
3.0,7.0,0,-3.0,-5.0,-3.0,1.88,2.86,2.13,6.0,6.0,4.0,4.0,Optimal
6.0,6.0,1,-7.5,-7.5,-6.529999999999999,2.0,2.0,2.0,6.0,1.0,6.0,6.0,Optimal
6.0,8.0,1,-2.0,-3.5,-6.0,2.58,1.8,0.0,6.0,1.0,6.0,6.0,Optimal
6.0,8.0,1,-6.0,-6.0,-6.0,1.8,2.22,2.09,7.0,8.0,6.0,6.0,Optimal
6.0,4.0,1,-6.0,-6.0,-6.5,2.0,2.0,2.0,4.0,4.0,5.0,5.0,Optimal
6.0,1.0,1,-6.0,-5.0,-6.0,2.06,2.3,2.3,7.0,7.0,6.0,6.0,Optimal
6.0,4.0,1,-4.5,-8.0,-6.0,1.46,0.0,2.5,1.0,5.0,6.0,6.0,Optimal
5.0,4.0,1,-5.5,-7.0,-7.0,2.0,2.0,0.0,3.0,1.0,6.0,8.0,Optimal
6.0,5.0,1,-6.0,-6.0,-7.0,2.0,2.0,2.0,4.0,3.0,6.0,6.0,Optimal
6.0,1.0,1,-4.0,-4.0,-3.5,2.0,2.0,1.0,7.0,7.0,6.0,6.0,Optimal
3.0,6.0,0,-4.0,-5.5,-4.5,2.08,1.75,2.51,4.0,5.0,4.0,3.0,Optimal
6.0,5.0,1,-6.0,-4.5,-4.5,2.2,2.35,0.0,6.0,1.0,6.0,6.0,Optimal
6.0,1.0,1,-6.5,-5.5,-4.6,0.0,2.36,2.33,6.0,5.0,5.0,5.0,Optimal
6.0,6.0,0,-5.0,-4.0,-5.0,2.3,2.24,0.0,6.0,1.0,6.0,7.0,Optimal
4.0,4.0,0,-6.0,-5.5,-5.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,Optimal
5.0,4.0,1,-4.5,-5.5,-7.0,2.0,2.0,2.0,4.0,3.0,5.0,6.0,Optimal
5.0,2.0,0,-4.199999999999999,-3.5,-5.5,2.37,2.73,2.76,5.0,6.0,5.0,5.0,Optimal
6.0,5.0,1,-6.5,-6.0,-6.0,2.51,1.68,2.81,5.0,5.0,6.0,6.0,Optimal
6.0,3.0,1,-6.0,-5.5,-5.5,2.0,2.0,2.0,3.0,3.0,6.0,6.0,Optimal
6.0,3.0,0,-3.5,-4.0,-5.0,2.88,2.64,2.85,3.0,5.0,6.0,6.0,Optimal
8.0,3.0,1,-5.0,-4.0,-4.0,2.0,2.0,2.0,5.0,5.0,6.0,5.0,Optimal
6.0,5.0,1,-5.0,-6.0,-5.0,2.79,2.68,1.4,5.0,5.0,6.0,6.0,Optimal
6.0,1.0,1,-6.0,-6.5,-4.0,0.0,2.0,2.0,2.0,1.0,6.0,6.0,Optimal
6.0,3.0,1,-6.0,-7.0,-6.0,2.0,2.0,2.0,3.0,5.0,6.0,6.0,Optimal
5.0,3.0,1,-4.800000000000001,-5.5,-5.0,2.0,2.0,3.58,3.0,4.0,5.0,4.0,Optimal
6.0,5.0,1,-5.0,-5.5,-6.0,2.44,2.33,0.0,5.0,1.0,6.0,6.0,Optimal
6.0,6.0,1,-7.0,-8.0,-5.5,2.0,2.0,2.0,5.0,5.0,6.0,6.0,Optimal
4.0,4.0,0,-6.0,-6.0,-5.5,2.0,2.0,2.0,4.0,1.0,4.0,4.0,Optimal
6.0,5.0,1,-5.0,-5.0,-5.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,Optimal
6.0,5.0,1,-5.5,-6.0,-5.0,1.79,1.96,2.15,5.0,6.0,6.0,6.0,Optimal
6.0,5.0,1,-4.5,-4.5,-3.5,2.02,2.19,1.51,5.0,3.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-4.5,-6.0,2.19,1.74,1.87,5.0,8.0,6.0,6.0,Risk/Caution
6.0,8.0,1,-2.0,-5.0,-4.5,2.48,2.19,1.74,7.0,5.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-4.0,-2.0,-3.0,2.32,1.75,2.15,4.0,6.0,6.0,6.0,Risk/Caution
6.0,8.0,1,-3.0,-3.0,-9.0,2.32,1.99,1.33,7.0,3.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-4.0,-3.0,-3.0,2.12,2.32,1.99,8.0,7.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-5.0,-4.0,-3.0,2.3,2.12,2.32,5.0,8.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-3.5,-5.0,-4.0,2.33,2.3,2.12,5.0,5.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-2.5,-3.5,-5.0,2.57,2.33,2.3,5.0,5.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-3.5,-2.5,-3.0,2.13,1.9,1.7,4.0,2.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-5.0,-4.5,-4.5,1.86,2.59,1.76,5.0,5.0,6.0,6.0,Risk/Caution
6.0,4.0,1,-2.0,-1.5,-6.0,2.97,2.68,3.95,3.0,4.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-2.0,-2.0,-1.5,2.97,2.97,2.68,4.0,3.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-3.5999999999999996,-2.0,-2.0,3.62,2.97,2.97,7.0,4.0,6.0,6.0,Risk/Caution
7.0,8.0,1,-4.0,-3.0,-3.0,1.51,0.0,1.5,5.0,5.0,6.0,6.0,Risk/Caution
6.0,8.0,1,-3.0,-5.0,-9.0,1.51,0.0,0.0,1.0,1.0,6.0,6.0,Risk/Caution
