Name,Date,Appetite,SleepInd,StSpirit,pEffort,uaI,uaI(-1),DeltaWt (%),DeltaHrtwo,FatigInd,Sex_F
274.0,1587513600,2.0,-5.0,5.0,4.0,2.0,2.0,0.0,20.0,Low/Minimal,0
274.93855270901577,1577318400,3.06144729098425,-6.0,3.06144729098425,1.0,0.061447290984249836,0.0,0.0024233869203996294,-4.893948762283504,Low/Minimal,0
274.0,1577577600,4.0,-6.0,4.0,1.0,0.0,1.0,0.0,10.0,Low/Minimal,0
274.0,1588896000,3.0,-5.0,5.0,4.0,2.0,2.0,-0.003389830508474523,11.0,Low/Minimal,0
275.0,1577059200,3.0,-6.0,3.0,3.0,1.0,0.0,-0.0017605633802817433,-6.0,Low/Minimal,0
275.0,1576627200,4.0,-5.0,3.0,6.0,1.87,2.2,-0.012367491166077715,-12.0,Low/Minimal,0
275.0,1578096000,4.0,-5.0,3.0,2.0,1.16,1.56,0.0,-6.0,Low/Minimal,0
274.0,1586736000,5.0,-4.0,5.0,5.0,2.0,1.0,-0.0034188034188034067,-2.0,Low/Minimal,0
274.0,1585958400,5.0,-5.0,5.0,5.0,2.0,2.0,0.0,8.0,Low/Minimal,0
275.0,1579996800,6.0,-7.0,3.0,1.0,0.0,1.0,0.0,-6.0,Low/Minimal,0
269.0,1571529600,6.0,-6.0,5.0,1.0,0.0,1.78,0.0,0.0,Low/Minimal,0
274.0,1577750400,3.0,-5.0,4.0,1.0,0.0,1.41,0.0,14.0,Low/Minimal,0
274.0,1585008000,4.0,-3.5,5.0,3.0,2.0,2.0,-0.010204081632653073,28.0,Low/Minimal,0
275.0,1578182400,4.0,-7.0,3.0,1.0,0.0,1.16,0.0,-12.0,Low/Minimal,0
274.0,1577232000,3.0,-5.0,4.0,1.0,0.0,0.0,0.0035842293906809264,12.0,Low/Minimal,0
274.0,1585785600,4.0,-5.5,5.0,5.0,2.0,2.0,0.0,30.0,Low/Minimal,0
274.0,1588118400,3.0,-4.5,5.0,6.0,2.0,2.0,0.003472222222222321,5.0,Low/Minimal,0
275.0,1576593646,3.611653160488281,-5.776693679023438,3.0,6.0,1.9981544570388674,2.258252025926758,-0.00824953011990958,-9.669918962929685,Low/Minimal,0
274.0,1577491200,5.0,-5.0,4.0,4.0,1.0,1.0,0.0,17.0,Low/Minimal,0
275.0,1577491200,4.0,-6.0,3.0,1.0,0.0,1.0,-0.0017605633802817433,-6.0,Low/Minimal,0
274.0,1586126326,5.0,-5.943588420972899,5.0,4.0,2.0,2.0,0.0,13.379472630701898,Low/Minimal,0
275.0,1579910400,6.0,-6.0,3.0,2.0,1.0,0.0,0.0,0.0,Low/Minimal,0
275.0,1575331200,4.0,-5.0,3.0,6.0,1.9,1.6,0.007017543859649145,12.0,Low/Minimal,0
274.0,1589587200,4.0,-3.7,5.0,5.0,2.0,2.0,0.0,14.0,Low/Minimal,0
275.0,1577750400,3.0,-7.5,3.0,1.0,0.0,1.41,0.0,6.0,Low/Minimal,0
274.0,1589155200,3.0,-5.0,5.0,5.0,2.0,0.0,-0.005093378607809895,19.0,Low/Minimal,0
275.0,1577836800,3.0,-6.0,3.0,1.0,0.0,0.0,0.0,24.0,Low/Minimal,0
275.0,1576108800,4.0,-6.0,3.0,2.0,2.0,2.79,0.0017421602787457413,6.0,Low/Minimal,0
274.0,1588850201,4.0,-4.808740754813858,5.0,4.617481509627717,2.0,2.0,-0.0038065367751769883,13.825184903722835,Low/Minimal,0
275.0,1577664000,3.0,-6.0,3.0,7.0,1.41,0.0,-0.012345679012345734,12.0,Low/Minimal,0
275.0,1579824000,5.0,-7.0,3.0,1.0,0.0,0.0,-0.005328596802841923,0.0,Low/Minimal,0
274.0,1588550400,3.0,-4.5,5.0,4.0,2.0,1.0,0.0,17.0,Low/Minimal,0
275.0,1575763200,5.0,-7.0,3.0,1.0,0.0,0.0,0.0,-6.0,Low/Minimal,0
274.0,1589414400,3.0,-4.5,5.0,5.0,2.0,2.0,0.01038062283737018,3.0,Low/Minimal,0
269.0,1571702400,6.0,-4.5,4.0,5.0,1.42,1.93,0.0,-6.0,Low/Minimal,0
275.0,1575676800,5.0,-7.0,3.0,1.0,0.0,0.0,0.0,-24.0,Low/Minimal,0
275.0,1577318400,3.0,-6.0,3.0,1.0,0.0,0.0,0.0017636684303350414,-6.0,Low/Minimal,0
274.0,1587340800,3.0,-4.5,5.0,4.0,2.0,0.0,0.0,21.0,Low/Minimal,0
274.0,1585156780,3.278001227733175,-5.639000613866588,5.0,4.278001227733175,2.0,2.0,0.0019106613589908884,27.331992633600947,Low/Minimal,0
275.0,1575849600,3.0,-5.0,3.0,4.0,1.4,0.0,-0.0017391304347825765,12.0,Low/Minimal,0
275.0,1576281600,4.0,-6.0,3.0,2.0,3.67,2.91,0.003472222222222321,6.0,Low/Minimal,0
269.0,1582156800,5.0,-4.0,5.0,1.0,0.0,2.4,0.0,0.0,Low/Minimal,0
274.0,1587859200,4.0,-5.5,5.0,3.0,1.0,0.0,0.00519031141868509,16.0,Low/Minimal,0
274.0,1586995200,3.0,-5.5,5.0,4.0,2.0,2.0,-0.003401360544217691,20.0,Low/Minimal,0
275.0,1579738272,5.0,-7.0,3.0,1.0,0.0,0.0,-4.150146025994235e-05,-5.953269355747305,Low/Minimal,0
274.0,1577059200,4.0,-6.0,4.0,3.0,1.0,0.0,0.001814882032667775,4.0,Low/Minimal,0
275.0,1575072000,3.0,-5.0,4.0,6.0,1.5,1.6,-0.0034364261168384758,-6.0,Low/Minimal,0
274.0,1586131200,5.0,-6.0,5.0,4.0,2.0,2.0,0.0,14.0,Low/Minimal,0
274.0,1577145600,3.0,-5.0,4.0,1.0,0.0,1.0,0.010869565217391353,4.0,Low/Minimal,0
274.0,1586304000,5.0,-5.5,6.0,5.0,2.0,2.0,0.0,22.0,Low/Minimal,0
269.0,1573430400,6.0,-2.0,5.0,1.0,1.33,2.58,0.0,0.0,Low/Minimal,0
269.0,1571443200,5.0,-1.0,5.0,5.0,1.78,2.18,0.0,0.0,Low/Minimal,0
275.0,1578614400,3.0,-5.0,3.0,7.0,2.19,1.89,0.007067137809187329,0.0,Low/Minimal,0
274.0,1586102464,4.666291388860978,-5.333708611139022,5.6674172222780435,4.333708611139022,2.0,2.0,0.0011467649867320298,5.002251666834131,Low/Minimal,0
275.0,1577232000,3.0,-6.0,3.0,1.0,0.0,0.0,0.005319148936170137,-6.0,Low/Minimal,0
275.0,1578355200,4.0,-5.0,3.0,4.0,1.89,1.54,0.003558718861210064,0.0,Low/Minimal,0
275.0,1577923200,4.0,-8.0,3.0,7.0,1.41,0.0,0.0,-6.0,Low/Minimal,0
274.0,1585791577,4.023062425041416,-5.488468787479292,5.0,4.976937574958584,2.0,2.0,0.0,29.377314523881775,Low/Minimal,0
274.0,1586044800,5.0,-5.0,5.0,4.0,2.0,2.0,0.0,3.0,Low/Minimal,0
275.0,1576022400,4.0,-6.0,3.0,2.0,2.79,2.33,-0.00692041522491349,6.0,Low/Minimal,0
275.0,1576972800,3.0,-7.0,3.0,1.0,0.0,0.0,0.008880994671403242,0.0,Low/Minimal,0
